aX,aY,aZ,gX,gY,gZ
0.068,0.890,0.101,-14.832,8.057,0.366
0.048,0.954,0.072,-2.563,-71.838,57.251
0.030,0.955,0.065,-6.104,-44.861,53.833
0.011,0.941,0.064,-10.376,-21.362,40.771
-0.004,0.932,0.054,-7.385,-20.569,36.621
-0.020,0.930,0.061,-1.160,-21.484,32.837
-0.032,0.943,0.077,5.371,-19.592,27.161
-0.031,0.943,0.091,11.475,-14.465,19.897
-0.024,0.943,0.108,17.517,-7.629,12.085
-0.015,0.966,0.132,23.193,-0.671,4.883
-0.018,0.983,0.141,25.208,6.531,-1.831
-0.014,0.980,0.131,23.865,11.780,-7.996
0.002,0.991,0.135,23.560,14.648,-12.146
0.023,1.003,0.144,23.865,15.015,-12.085
0.032,1.000,0.156,21.301,13.550,-8.667
0.031,0.978,0.159,16.785,11.108,-4.517
0.040,0.959,0.147,13.184,9.033,-0.916
0.049,0.949,0.137,11.658,7.996,1.648
0.051,0.933,0.131,11.108,7.568,1.892
0.049,0.940,0.132,11.780,8.301,0.427
0.053,0.945,0.150,13.123,10.132,-1.465
0.061,0.935,0.168,13.489,11.292,-2.380
0.063,0.927,0.163,12.817,11.108,-2.197
0.068,0.926,0.153,12.146,9.644,-1.526
0.069,0.927,0.144,11.902,7.568,-0.366
0.066,0.925,0.147,12.146,5.676,0.793
0.061,0.923,0.172,12.939,4.150,1.221
0.056,0.934,0.201,12.634,3.662,1.038
0.059,0.944,0.212,10.925,4.150,-0.244
0.073,0.948,0.214,8.484,5.615,-2.625
0.072,0.944,0.195,4.883,6.653,-5.737
0.062,0.937,0.196,2.869,6.592,-8.484
0.069,0.943,0.226,4.028,6.104,-8.484
0.084,0.954,0.222,3.235,5.127,-5.615
0.091,0.943,0.204,1.953,4.150,-2.441
0.081,0.937,0.192,0.977,4.028,-0.305
0.062,0.938,0.195,1.282,4.333,-0.061
0.054,0.938,0.204,1.770,5.371,-0.977
0.054,0.942,0.207,1.770,6.226,-2.319
0.056,0.945,0.205,1.099,6.165,-3.296
0.060,0.941,0.205,1.160,5.676,-3.418
0.053,0.930,0.205,1.038,4.700,-3.174
0.043,0.928,0.214,0.061,3.113,-3.113
0.047,0.933,0.214,-1.526,2.563,-4.150
0.059,0.934,0.206,-2.747,2.319,-5.249
0.069,0.932,0.204,-2.380,2.441,-5.615
