aX,aY,aZ,gX,gY,gZ
-0.046,0.097,0.839,78.613,23.071,8.728
-0.072,0.099,0.860,89.417,14.709,6.714
-0.084,0.010,0.902,92.285,-1.099,4.700
-0.062,-0.012,1.052,82.275,-5.859,4.639
-0.092,-0.033,1.005,78.979,-2.502,7.812
-0.076,0.055,0.982,76.599,-3.906,14.404
-0.166,0.022,0.973,72.083,-8.240,15.747
-0.021,-0.093,1.012,66.956,-9.033,19.531
-0.102,0.063,0.886,52.917,-20.935,20.142
-0.086,0.139,0.945,61.157,-13.306,12.817
0.008,-0.294,1.356,102.966,-15.442,3.906
-0.107,-0.221,1.146,95.276,-44.189,6.653
-0.156,-0.121,1.143,62.927,-23.193,20.569
-0.138,-0.134,1.108,36.377,-1.343,29.480
-0.058,-0.161,1.080,24.475,20.203,33.203
-0.021,-0.135,1.038,11.047,34.180,35.461
-0.073,0.004,1.159,-10.986,36.072,35.400
-0.038,0.036,1.063,-42.969,33.752,24.963
0.059,-0.226,1.036,-72.083,26.917,9.155
-0.033,-0.110,0.788,-77.576,17.883,13.611
-0.139,-0.034,0.692,-59.937,4.883,20.203
-0.153,0.017,0.810,-30.212,-5.066,22.461
-0.074,-0.007,0.901,-12.268,-3.357,15.137
-0.073,-0.055,0.940,-4.578,5.615,8.118
-0.016,-0.048,0.874,1.099,14.771,6.897
-0.002,-0.017,0.876,5.676,19.775,6.897
-0.025,-0.011,0.799,10.376,21.179,5.310
-0.078,-0.022,0.807,18.066,15.869,2.747
-0.078,-0.004,0.800,25.269,7.202,-1.343
-0.083,-0.003,0.799,30.029,-1.221,-6.165
-0.066,-0.024,0.817,33.997,-7.690,-10.925
-0.024,-0.047,0.892,35.583,-12.634,-15.137
0.009,-0.076,0.985,33.630,-14.893,-16.174
0.037,-0.092,1.038,26.611,-13.489,-14.954
0.048,-0.115,1.100,17.517,-9.766,-12.024
0.019,-0.113,1.135,7.690,-5.188,-7.446
0.000,-0.115,1.120,0.732,0.549,-3.906
0.001,-0.106,1.113,-4.150,5.798,-2.136
-0.044,-0.108,1.109,-10.986,9.399,-0.854
-0.067,-0.064,1.070,-18.311,11.963,-2.014
-0.097,-0.057,1.026,-21.790,14.465,-3.479
-0.111,-0.043,1.011,-22.400,14.465,-5.859
-0.129,-0.012,0.984,-23.193,12.695,-8.240
-0.112,-0.016,0.973,-23.499,10.742,-10.925
-0.119,0.001,0.970,-19.104,6.470,-13.428
-0.094,-0.012,0.981,-12.146,-0.610,-16.296
-0.085,-0.019,0.977,-10.498,-5.005,-18.127
-0.056,-0.033,0.962,-10.742,-7.141,-18.799
-0.048,-0.027,0.971,-10.132,-10.132,-17.761
-0.026,-0.055,0.975,-9.644,-11.658,-17.517
0.010,-0.063,0.965,-11.841,-13.367,-16.602
0.056,-0.040,0.960,-14.160,-15.015,-13.916
0.043,-0.098,0.974,-16.541,-12.085,-11.475
0.048,-0.075,0.963,-20.447,-6.104,-7.751
0.014,-0.041,0.931,-18.677,-1.282,-3.479
0.003,-0.025,0.958,-14.709,0.183,-2.014
0.455,-0.583,1.733,-168.579,47.058,-9.216
0.391,-0.588,1.768,-210.693,64.575,-3.296
0.305,-0.640,1.721,-247.864,76.843,4.578
0.289,-0.658,1.611,-278.625,76.538,14.343
0.323,-0.656,1.495,-311.523,62.500,24.231
0.402,-0.637,1.412,-346.191,45.288,32.959
0.461,-0.607,1.380,-376.038,35.828,41.077
0.395,-0.568,1.359,-403.259,38.147,51.392
0.277,-0.621,1.312,-431.641,41.687,62.683
0.278,-0.609,1.150,-464.172,33.569,76.477
0.277,-0.589,0.974,-496.216,4.700,92.896
0.292,-0.548,0.757,-528.381,-39.795,108.154
0.366,-0.493,0.519,-556.396,-93.201,124.023
0.454,-0.429,0.323,-577.209,-145.752,140.564
0.436,-0.344,0.310,-590.149,-190.491,156.555
0.246,-0.209,0.456,-602.417,-220.093,168.640
0.052,-0.086,0.503,-617.798,-234.253,166.809
-0.031,-0.007,0.504,-625.488,-236.023,152.161
-0.072,0.072,0.437,-622.375,-231.812,133.118
-0.082,0.105,0.290,-615.295,-222.290,114.929
-0.075,0.079,0.040,-610.596,-214.172,100.037
-0.084,0.044,-0.342,-598.511,-215.454,92.896
-0.106,0.023,-0.755,-570.801,-220.398,92.041
-0.151,0.023,-1.155,-527.222,-215.820,89.355
-0.234,0.111,-1.471,-468.384,-197.205,81.421
-0.293,0.314,-1.668,-397.034,-170.166,69.519
-0.357,0.418,-1.861,-318.237,-137.268,56.152
-0.405,0.542,-1.857,-233.704,-116.028,40.833
-0.385,0.643,-1.532,-153.870,-122.192,29.907
-0.325,0.707,-1.199,-100.830,-136.536,30.457
-0.249,0.779,-0.961,-72.632,-145.142,34.546
-0.277,0.798,-0.769,-51.086,-149.292,41.992
-0.385,0.860,-0.609,-31.982,-143.066,50.171
-0.468,0.881,-0.497,-17.822,-124.084,49.744
-0.448,0.948,-0.418,-4.211,-96.497,35.828
-0.369,0.953,-0.420,8.240,-64.636,21.179
-0.289,0.922,-0.481,16.602,-36.438,11.780
-0.242,0.901,-0.517,27.527,-17.212,9.094
-0.240,0.874,-0.471,39.490,-5.066,8.240
-0.226,0.857,-0.442,46.021,1.892,7.874
-0.190,0.855,-0.397,49.438,4.944,9.399
-0.145,0.877,-0.346,51.697,5.066,12.878
-0.223,0.902,-0.285,51.514,5.371,18.372
-0.270,0.921,-0.202,47.913,5.249,21.851
-0.308,0.930,-0.164,42.175,2.136,22.705
-0.342,0.935,-0.153,36.316,-0.122,23.315
-0.375,0.955,-0.165,32.410,3.296,22.278
-0.398,0.961,-0.217,30.762,11.169,18.433
-0.379,0.937,-0.264,32.715,21.973,12.939
-0.374,0.926,-0.295,36.072,31.494,8.667
-0.361,0.912,-0.277,37.842,37.415,5.676
-0.343,0.911,-0.299,35.034,36.072,4.517
-0.337,0.899,-0.306,30.823,30.151,6.653
-0.347,0.882,-0.284,27.100,24.353,9.888
-0.377,0.873,-0.277,21.057,19.043,12.085
-0.403,0.864,-0.316,15.564,13.245,11.841
-0.396,0.879,-0.318,16.357,8.179,8.423
-0.449,0.882,-0.281,19.409,6.714,3.845
-0.384,0.872,-0.357,20.996,9.460,-1.953
-0.339,0.825,-0.334,26.245,8.118,-5.859
-0.304,0.813,-0.305,30.273,5.066,-4.944
-0.330,0.830,-0.301,29.053,-0.183,-2.014
-0.290,0.807,-0.292,27.405,-6.348,1.038
-0.267,0.795,-0.280,26.184,-11.230,6.226
-0.274,0.795,-0.245,26.611,-12.939,12.329
-0.303,0.805,-0.236,26.306,-9.949,16.479
-0.335,0.836,-0.217,26.184,-3.662,17.151
-0.373,0.872,-0.195,26.794,5.005,15.198
-0.379,0.886,-0.168,27.710,10.498,12.695
-0.375,0.895,-0.163,25.696,12.573,10.376
-0.358,0.895,-0.177,19.775,11.108,7.996
-0.351,0.887,-0.221,13.184,6.592,7.019
-0.353,0.878,-0.244,9.033,1.160,7.324
-0.370,0.879,-0.266,6.470,-3.357,7.324
-0.369,0.887,-0.274,5.371,-7.080,7.324
-0.366,0.893,-0.282,6.226,-10.071,7.080
-0.370,0.897,-0.277,8.606,-10.986,6.836
-0.359,0.899,-0.265,11.169,-9.033,6.165
-0.343,0.902,-0.251,13.306,-6.104,5.737
-0.337,0.907,-0.238,14.160,-4.456,6.226
-0.359,0.917,-0.220,13.367,-4.639,7.263
-0.376,0.923,-0.219,10.376,-4.761,7.324
-0.398,0.927,-0.230,7.996,-4.333,6.775
-0.405,0.920,-0.258,7.507,-3.418,5.981
-0.386,0.924,-0.265,9.033,-1.587,4.883
-0.371,0.914,-0.254,10.010,0.732,3.418
-0.361,0.924,-0.244,9.644,1.831,2.136
-0.333,0.913,-0.252,8.545,2.869,1.160
-0.318,0.922,-0.253,8.362,5.188,1.343
-0.316,0.934,-0.240,8.545,9.216,2.319
-0.312,0.945,-0.241,7.568,13.611,4.272
-0.318,0.963,-0.250,5.920,18.188,6.531
-0.349,0.990,-0.245,4.761,20.691,8.423
-0.380,0.987,-0.235,3.113,21.790,8.545
-0.396,1.007,-0.237,0.061,19.409,7.080
-0.374,0.997,-0.263,-2.136,15.320,4.333
-0.344,0.972,-0.327,-0.977,14.587,1.099
-0.314,0.953,-0.400,5.188,20.813,-1.526
-0.312,0.953,-0.455,17.029,30.518,-2.075
-0.332,0.947,-0.500,32.898,41.870,-2.075
-0.331,0.933,-0.528,50.110,53.467,-2.869
-0.326,0.917,-0.534,67.322,64.331,-3.479
-0.349,0.861,-0.573,82.031,71.716,-3.113
-0.326,0.808,-0.685,99.365,79.224,0.183
-0.303,0.803,-0.820,129.028,92.773,1.770
-0.258,0.712,-0.939,175.781,118.958,-3.235
-0.247,0.687,-0.942,235.779,153.625,-9.155
-0.249,0.567,-0.896,299.438,188.904,-15.076
-0.236,0.502,-0.852,357.788,217.773,-22.766
-0.229,0.462,-0.774,413.757,241.577,-31.433
-0.268,0.354,-0.596,472.595,258.423,-35.522
-0.297,0.213,-0.363,528.870,266.174,-37.292
-0.239,0.141,-0.156,573.608,264.648,-42.297
-0.166,0.037,0.047,606.384,259.766,-49.377
-0.120,-0.072,0.259,628.906,255.188,-54.993
-0.050,-0.176,0.476,642.822,247.498,-57.129
0.046,-0.280,0.753,646.118,229.919,-58.167
0.081,-0.305,1.072,634.155,203.491,-59.448
0.061,-0.333,1.395,607.788,173.706,-56.824
0.317,-0.641,1.724,-668.335,-231.445,-18.066
0.368,-0.681,1.589,-714.905,-243.958,-11.780
0.332,-0.680,1.410,-749.146,-257.568,-4.700
0.248,-0.659,1.202,-770.996,-263.855,0.061
0.149,-0.649,0.918,-781.372,-256.653,1.038
0.011,-0.612,0.525,-776.489,-235.718,-2.136
-0.088,-0.533,0.094,-748.230,-204.651,-5.737
-0.133,-0.470,-0.297,-700.012,-172.363,-7.385
-0.133,-0.349,-0.725,-649.719,-146.912,-7.629
-0.129,-0.242,-1.167,-597.229,-127.869,-7.751
-0.109,-0.101,-1.495,-536.926,-112.427,-6.226
-0.143,0.006,-1.676,-469.971,-106.201,-1.465
-0.230,0.125,-1.889,-401.001,-113.159,2.991
-0.251,0.274,-1.989,-325.745,-115.051,5.737
-0.203,0.366,-1.798,-242.554,-110.352,7.385
-0.178,0.512,-1.537,-165.894,-108.765,11.047
-0.207,0.700,-1.153,-106.445,-109.192,20.203
-0.297,0.857,-0.784,-72.083,-107.788,30.212
-0.431,0.946,-0.548,-56.091,-101.318,34.546
-0.525,0.988,-0.451,-46.204,-92.041,32.410
-0.522,0.994,-0.412,-36.194,-78.491,23.376
-0.453,0.993,-0.395,-25.269,-61.401,9.766
-0.353,0.940,-0.430,-15.442,-43.579,0.549
-0.236,0.899,-0.476,-6.104,-25.391,-5.005
-0.171,0.861,-0.492,4.150,-9.216,-5.859
-0.176,0.850,-0.529,12.817,2.991,-2.258
-0.222,0.854,-0.537,22.644,11.230,2.136
-0.250,0.867,-0.477,33.630,15.564,5.371
-0.268,0.895,-0.410,39.490,15.198,7.507
-0.298,0.919,-0.361,39.490,10.803,9.827
-0.329,0.935,-0.329,37.659,6.836,11.292
-0.339,0.939,-0.319,36.804,6.226,10.559
-0.324,0.935,-0.310,37.415,8.606,8.484
-0.315,0.925,-0.295,38.513,10.803,6.897
-0.312,0.918,-0.307,37.964,12.512,5.920
-0.315,0.909,-0.316,36.926,12.817,5.737
-0.314,0.900,-0.334,36.011,12.695,5.615
-0.318,0.888,-0.336,35.645,11.719,5.859
-0.350,0.890,-0.327,35.278,10.864,5.798
-0.401,0.914,-0.319,35.217,10.986,4.211
-0.374,0.916,-0.337,35.339,13.611,0.122
-0.338,0.917,-0.311,36.987,16.357,-3.479
-0.320,0.913,-0.273,36.926,17.273,-4.883
-0.320,0.909,-0.246,32.410,16.052,-4.272
-0.314,0.893,-0.252,26.001,13.123,-3.540
-0.302,0.875,-0.281,20.142,9.766,-2.869
-0.282,0.856,-0.298,16.479,8.484,-2.563
-0.258,0.833,-0.329,13.794,9.338,-2.014
-0.249,0.809,-0.367,11.658,9.644,-0.732
-0.268,0.795,-0.411,10.986,9.155,1.221
-0.295,0.796,-0.442,12.329,8.850,2.625
-0.314,0.828,-0.403,15.869,8.179,3.235
-0.340,0.853,-0.328,17.700,5.371,3.784
-0.329,0.867,-0.285,15.381,0.488,3.601
-0.291,0.860,-0.279,11.536,-3.906,2.380
-0.259,0.846,-0.287,9.399,-4.395,1.892
-0.245,0.840,-0.305,9.216,-0.977,2.563
-0.249,0.844,-0.332,10.559,4.883,3.479
-0.261,0.858,-0.337,13.245,10.986,4.761
-0.280,0.877,-0.338,15.076,15.076,6.714
-0.297,0.891,-0.328,15.991,16.541,9.033
-0.320,0.901,-0.318,16.968,15.869,10.559
-0.341,0.913,-0.311,17.883,14.648,10.986
-0.345,0.930,-0.296,19.470,13.672,10.071
-0.346,0.947,-0.278,21.423,12.512,9.033
-0.355,0.965,-0.259,22.766,12.390,8.484
-0.363,0.970,-0.249,24.109,14.771,7.385
-0.367,0.979,-0.247,25.513,18.311,6.226
-0.371,0.980,-0.238,27.100,21.851,5.371
-0.366,0.977,-0.234,28.503,24.597,4.333
-0.341,0.975,-0.267,30.579,27.283,3.540
-0.316,0.972,-0.322,35.339,32.898,3.479
